 |14|山西省|省|
142303013|142303013019|田屯|村|
142303013|142303013020|小虢城|村|
142303013|142303013021|西官|村|
142303013|142303013022|东官|村|
142303013|142303013023|董和|村|
142303013|142303013024|东堡|村|
142303013|142303013025|牛庄|村|
142303013|142303013026|干河|村|
142303013|142303013027|节义|村|
142303013|142303013028|虞城|村|
142303013|142303013029|普会|村|
142303013|142303013030|董家庄|村|
142303014|142303014001|白石|村|
142303014|142303014002|南开社|村|
142303014|142303014003|西堡障|村|
142303014|142303014004|东堡障|村|
142303014|142303014005|演武|村|
142303014|142303014006|招贤|村|
142303014|142303014007|辛盖|村|
142303014|142303014008|师家庄|村|
142303014|142303014009|韩家桥|村|
142303014|142303014010|北上达|村|
142303014|142303014011|西河堡|村|
142303014|142303014012|中上达|村|
142303014|142303014013|南上达|村|
142303014|142303014014|北辛庄|村|
142303014|142303014015|西大王|村|
142303014|142303014016|东大王|村|
142303014|142303014017|北小堡|村|
142303014|142303014018|北船头|村|
142323001|142323001003|神尾沟村|村|
142323001|142323001004|柴逯沟村|村|
142323001|142323001005|长立村|村|
142323001|142323001007|张沟村|村|
142323001|142323001009|大草坪村|村|
142323001|142323001015|社堂村|村|
142323001|142323001017|庞泉沟村|村|
142323001|142323001018|山水村|村|
142323001|142323001020|苏家湾村|村|
142323001|142323001022|市庄村|村|
142323002|142323002001|大塔村|村|
142323002|142323002002|李家沟村|村|
142323002|142323002003|杜里会村|村|
142323002|142323002004|鱼儿村|村|
142323002|142323002005|舍科村|村|
142323002|142323002006|贺家沟村|村|
142323002|142323002007|王家沟村|村|
142323002|142323002008|惠家庄村|村|
142323002|142323002009|燕家庄村|村|
142323002|142323002010|冯家沟口村|村|
142323002|142323002011|康家社村|村|
142323002|142323002012|石沙峪口村|村|
142323002|142323002013|东坡底村|村|
142323002|142323002014|逯家岩村|村|
142323003|142323003001|龙江寨村|村|
142323003|142323003002|代家庄村|村|
142323003|142323003003|双家寨村|村|
142323003|142323003004|中庄村|村|
142323003|142323003005|河西庄村|村|
142323003|142323003006|寨则村|村|
142323003|142323003007|石沙庄村|村|
142323003|142323003008|岔口村|村|
142323003|142323003009|张家庄村|村|
142323003|142323003010|胡家沟村|村|
142323003|142323003011|窑儿上村|村|
142323003|142323003012|兑久会村|村|
142323003|142323003013|柏叶口村|村|
142323003|142323003014|会立村|村|
142323003|142323003015|神堂坪村|村|
142323003|142323003016|西落沟村|村|
142323003|142323003017|翟家庄|村|
142323003|142323003018|百草庄|村|
142323003|142323003019|上长斜村|村|
142323003|142323003020|东沟|村|
142323004|142323004001|岭上村|村|
142323004|142323004003|双龙村|村|
142323004|142323004004|寨立村|村|
142323004|142323004007|西坡村|村|
142323004|142323004008|芝兰村|村|
