 |14|山西省| |省| |SHENG| |101|0|2
142303001|142303001018|开垣庄| |村| |CUN| |105|0|12
142303001|142303001019|敖坡| |村| |CUN| |105|0|12
142303001|142303001020|龙湾| |村| |CUN| |105|0|12
142303001|142303001021|坡头| |村| |CUN| |105|0|12
142303001|142303001022|褚家沟| |村| |CUN| |105|0|12
142303001|142303001023|余家垣| |村| |CUN| |105|0|12
142303001|142303001024|相子垣| |村| |CUN| |105|0|12
142303001|142303001025|赵庄| |村| |CUN| |105|0|12
142303001|142303001026|桑沟| |村| |CUN| |105|0|12
142303001|142303001027|金庄| |村| |CUN| |105|0|12
142303001|142303001028|安乐庄| |村| |CUN| |105|0|12
142303001|142303001029|上池家庄| |村| |CUN| |105|0|12
142303001|142303001031|宋家庄| |村| |CUN| |105|0|12
142303001|142303001033|柏草坡| |村| |CUN| |105|0|12
142303001|142303001034|王盛庄| |村| |CUN| |105|0|12
142303001|142303001035|张家坡| |村| |CUN| |105|0|12
142303001|142303001037|下池家庄| |村| |CUN| |105|0|12
142303001|142303001038|上张家庄| |村| |CUN| |105|0|12
142303001|142303001039|下张家庄| |村| |CUN| |105|0|12
142303001|142303001040|水泉| |村| |CUN| |105|0|12
142303001|142303001041|田褚| |村| |CUN| |105|0|12
142303001|142303001042|崖头| |村| |CUN| |105|0|12
142303001|142303001043|李家沟| |村| |CUN| |105|0|12
142303001|142303001044|圪垛| |村| |CUN| |105|0|12
142303001|142303001045|梁家沟| |村| |CUN| |105|0|12
142303001|142303001046|赵家街| |村| |CUN| |105|0|12
142303001|142303001047|肃静| |村| |CUN| |105|0|12
142303001|142303001048|南崖底| |村| |CUN| |105|0|12
142303001|142303001049|峪口| |村| |CUN| |105|0|12
142303001|142303001050|刘村| |村| |CUN| |105|0|12
142303001|142303001051|堡城寺| |村| |CUN| |105|0|12
142303001|142303001052|宏寺| |村| |CUN| |105|0|12
142303002|142303002001|石老| |村| |CUN| |105|0|12
142303002|142303002002|霍头| |村| |CUN| |105|0|12
142303002|142303002003|山庄头| |村| |CUN| |105|0|12
142303002|142303002004|庄上| |村| |CUN| |105|0|12
142303002|142303002005|小相寨| |村| |CUN| |105|0|12
142303002|142303002006|上堡| |村| |CUN| |105|0|12
142303002|142303002007|安上| |村| |CUN| |105|0|12
142303002|142303002008|武家垣| |村| |CUN| |105|0|12
142303002|142303002009|小相| |村| |CUN| |105|0|12
142303002|142303002010|下堡| |村| |CUN| |105|0|12
142303002|142303002011|杏花西堡| |村| |CUN| |105|0|12
142303002|142303002012|冯郝沟| |村| |CUN| |105|0|12
142303002|142303002013|窑头| |村| |CUN| |105|0|12
142303002|142303002014|辛庄| |村| |CUN| |105|0|12
142303002|142303002015|上庙| |村| |CUN| |105|0|12
142303002|142303002016|张兴村| |村| |CUN| |105|0|12
142303002|142303002017|杏花东堡| |村| |CUN| |105|0|12
