 |14|山西省| |省| |SHENG| |101|0|2
141128004|141128004025|武家湾| |村| |CUN| |105|0|12
141128004|141128004026|古贤| |村| |CUN| |105|0|12
141128004|141128004027|横沟| |村| |CUN| |105|0|12
141128004|141128004028|班庄| |村| |CUN| |105|0|12
141128004|141128004029|庄上| |村| |CUN| |105|0|12
141128004|141128004030|前东旺坪| |村| |CUN| |105|0|12
141128004|141128004031|后东旺坪| |村| |CUN| |105|0|12
141128004|141128004032|郭家湾| |村| |CUN| |105|0|12
141128005|141128005001|呼家湾| |村| |CUN| |105|0|12
141128005|141128005002|任家山| |村| |CUN| |105|0|12
141128005|141128005003|张家塔| |村| |CUN| |105|0|12
141128005|141128005004|花果山| |村| |CUN| |105|0|12
141128005|141128005005|上村| |村| |CUN| |105|0|12
141128005|141128005006|下村| |村| |CUN| |105|0|12
141128005|141128005007|韩家山| |村| |CUN| |105|0|12
141128005|141128005008|郝家墕| |村| |CUN| |105|0|12
141128005|141128005009|常家山| |村| |CUN| |105|0|12
141128005|141128005010|杜家会| |村| |CUN| |105|0|12
141128005|141128005011|西村| |村| |CUN| |105|0|12
141128005|141128005012|阳峁| |村| |CUN| |105|0|12
141128005|141128005013|牛家岭| |村| |CUN| |105|0|12
141128005|141128005014|宗家山| |村| |CUN| |105|0|12
141128005|141128005015|横泉| |村| |CUN| |105|0|12
141128005|141128005016|土福则| |村| |CUN| |105|0|12
141128005|141128005017|吉家庄| |村| |CUN| |105|0|12
141128005|141128005018|花家坡| |村| |CUN| |105|0|12
141128005|141128005019|周家山| |村| |CUN| |105|0|12
141128005|141128005020|田家坡| |村| |CUN| |105|0|12
141128005|141128005021|圪叉咀| |村| |CUN| |105|0|12
141128005|141128005022|乔沟| |村| |CUN| |105|0|12
141128005|141128005023|东湾| |村| |CUN| |105|0|12
141128005|141128005024|兴隆湾| |村| |CUN| |105|0|12
141128005|141128005025|圪针湾| |村| |CUN| |105|0|12
141128005|141128005026|石板梁| |村| |CUN| |105|0|12
141128005|141128005027|峪口| |村| |CUN| |105|0|12
141128005|141128005028|安上| |村| |CUN| |105|0|12
141128005|141128005029|西山| |村| |CUN| |105|0|12
141128005|141128005030|新庄| |村| |CUN| |105|0|12
141128005|141128005031|前南村| |村| |CUN| |105|0|12
141128005|141128005032|南村| |村| |CUN| |105|0|12
141128006|141128006001|占古| |村| |CUN| |105|0|12
141128006|141128006002|松泉| |村| |CUN| |105|0|12
141128006|141128006003|武当| |村| |CUN| |105|0|12
141128006|141128006004|韩庄| |村| |CUN| |105|0|12
141128006|141128006005|来堡| |村| |CUN| |105|0|12
141128006|141128006006|河庄| |村| |CUN| |105|0|12
141128006|141128006007|下昔| |村| |CUN| |105|0|12
141128006|141128006008|庙底| |村| |CUN| |105|0|12
141128006|141128006009|暖泉会| |村| |CUN| |105|0|12
141128006|141128006010|阳湾| |村| |CUN| |105|0|12
141128006|141128006011|新民| |村| |CUN| |105|0|12
141128007|141128007001|阳和沟| |村| |CUN| |105|0|12
141128007|141128007002|龙凤村| |村| |CUN| |105|0|12
141128007|141128007003|石门墕| |村| |CUN| |105|0|12
141128007|141128007004|杨家村| |村| |CUN| |105|0|12
141128007|141128007005|水源| |村| |CUN| |105|0|12
141128007|141128007006|闫家山| |村| |CUN| |105|0|12
141128007|141128007007|下庄| |村| |CUN| |105|0|12
141128007|141128007008|王家庄| |村| |CUN| |105|0|12
141128007|141128007009|水沟| |村| |CUN| |105|0|12
141128007|141128007010|店坪| |村| |CUN| |105|0|12
141128007|141128007011|新房| |村| |CUN| |105|0|12
141128007|141128007013|西相王| |村| |CUN| |105|0|12
141128007|141128007014|杨家会| |村| |CUN| |105|0|12
141128007|141128007015|东坡| |村| |CUN| |105|0|12
141128007|141128007016|杨家塔| |村| |CUN| |105|0|12
141128007|141128007017|张家耳| |村| |CUN| |105|0|12
141128007|141128007018|高家沟| |村| |CUN| |105|0|12
141128007|141128007019|举人头| |村| |CUN| |105|0|12
141128007|141128007020|郭家沟| |村| |CUN| |105|0|12
141128007|141128007021|红罗沟| |村| |CUN| |105|0|12
141128007|141128007022|大武一村| |村| |CUN| |105|0|12
141128007|141128007023|大武二村| |村| |CUN| |105|0|12
141128007|141128007024|大武三村| |村| |CUN| |105|0|12
141128007|141128007025|大武四村| |村| |CUN| |105|0|12
141128007|141128007026|东相王| |村| |CUN| |105|0|12
141128007|141128007027|相当| |村| |CUN| |105|0|12
141128007|141128007028|雅湾| |村| |CUN| |105|0|12
141128007|141128007029|新洞上| |村| |CUN| |105|0|12
141128007|141128007030|武回庄| |村| |CUN| |105|0|12
141128007|141128007031|武家庄| |村| |CUN| |105|0|12
141128007|141128007012|保安| |村| |CUN| |105|0|12
141182001|141182001001|交口| |村| |CUN| |105|0|12
141182001|141182001002|蔚家沟| |村| |CUN| |105|0|12
141182001|141182001003|高新村| |村| |CUN| |105|0|12
141182001|141182001004|马家庄| |村| |CUN| |105|0|12
141182001|141182001005|任家庄| |村| |CUN| |105|0|12
141182001|141182001006|闫家庄| |村| |CUN| |105|0|12
141182001|141182001007|王虎庄| |村| |CUN| |105|0|12
141182001|141182001008|拐岭底| |村| |CUN| |105|0|12
141182001|141182001009|唐垣| |村| |CUN| |105|0|12
141182001|141182001010|上古池| |村| |CUN| |105|0|12
141182001|141182001011|下古池| |村| |CUN| |105|0|12
141182001|141182001012|向阳| |村| |CUN| |105|0|12
141182001|141182001013|后庄| |村| |CUN| |105|0|12
141182001|141182001014|马家社| |村| |CUN| |105|0|12
141182001|141182001015|冯家山底| |村| |CUN| |105|0|12
141182001|141182001016|后沟| |村| |CUN| |105|0|12
141182001|141182001017|南道| |村| |CUN| |105|0|12
141182001|141182001018|开垣庄| |村| |CUN| |105|0|12
141182001|141182001019|敖坡| |村| |CUN| |105|0|12
141182001|141182001020|龙湾| |村| |CUN| |105|0|12
141182001|141182001021|坡头| |村| |CUN| |105|0|12
141182001|141182001022|褚家沟| |村| |CUN| |105|0|12
141182001|141182001023|余家垣| |村| |CUN| |105|0|12
141182001|141182001024|相子垣| |村| |CUN| |105|0|12
141182001|141182001025|赵庄| |村| |CUN| |105|0|12
141182001|141182001026|桑沟| |村| |CUN| |105|0|12
141182001|141182001027|金庄| |村| |CUN| |105|0|12
141182001|141182001028|安乐庄| |村| |CUN| |105|0|12
141182001|141182001029|上池家庄| |村| |CUN| |105|0|12
141182001|141182001031|宋家庄| |村| |CUN| |105|0|12
141182001|141182001033|柏草坡| |村| |CUN| |105|0|12
141182001|141182001034|王盛庄| |村| |CUN| |105|0|12
141182001|141182001035|张家坡| |村| |CUN| |105|0|12
141182001|141182001037|下池家庄| |村| |CUN| |105|0|12
141182001|141182001038|上张家庄| |村| |CUN| |105|0|12
141182001|141182001039|下张家庄| |村| |CUN| |105|0|12
141182001|141182001040|水泉| |村| |CUN| |105|0|12
141182001|141182001041|田褚| |村| |CUN| |105|0|12
141182001|141182001042|崖头| |村| |CUN| |105|0|12
141182001|141182001043|李家沟| |村| |CUN| |105|0|12
141182001|141182001044|圪垛| |村| |CUN| |105|0|12
141182001|141182001045|梁家沟| |村| |CUN| |105|0|12
141182001|141182001046|赵家街| |村| |CUN| |105|0|12
141182001|141182001047|肃静| |村| |CUN| |105|0|12
141182001|141182001048|南崖底| |村| |CUN| |105|0|12
141182001|141182001049|峪口| |村| |CUN| |105|0|12
141182001|141182001050|刘村| |村| |CUN| |105|0|12
141182001|141182001051|堡城寺| |村| |CUN| |105|0|12
141182001|141182001052|宏寺| |村| |CUN| |105|0|12
141182002|141182002001|石老| |村| |CUN| |105|0|12
141182002|141182002002|霍头| |村| |CUN| |105|0|12
141182002|141182002003|山庄头| |村| |CUN| |105|0|12
141182002|141182002004|庄上| |村| |CUN| |105|0|12
141182002|141182002005|小相寨| |村| |CUN| |105|0|12
141182002|141182002006|上堡| |村| |CUN| |105|0|12
141182002|141182002007|安上| |村| |CUN| |105|0|12
141182002|141182002008|武家垣| |村| |CUN| |105|0|12
141182002|141182002009|小相| |村| |CUN| |105|0|12
141182002|141182002010|下堡| |村| |CUN| |105|0|12
141182002|141182002011|杏花西堡| |村| |CUN| |105|0|12
141182002|141182002012|冯郝沟| |村| |CUN| |105|0|12
141182002|141182002013|窑头| |村| |CUN| |105|0|12
141182002|141182002014|辛庄| |村| |CUN| |105|0|12
141182002|141182002015|上庙| |村| |CUN| |105|0|12
141182002|141182002016|张兴村| |村| |CUN| |105|0|12
141182002|141182002017|杏花东堡| |村| |CUN| |105|0|12
141182002|141182002018|永安| |村| |CUN| |105|0|12
141182002|141182002019|官道| |村| |CUN| |105|0|12
141182002|141182002020|杜村| |村| |CUN| |105|0|12
141182003|141182003001|仁岩| |村| |CUN| |105|0|12
141182003|141182003002|艾子| |村| |CUN| |105|0|12
141182003|141182003003|冀村| |村| |CUN| |105|0|12
141182003|141182003004|东马寨| |村| |CUN| |105|0|12
141182003|141182003005|东河头| |村| |CUN| |105|0|12
141182003|141182003006|南浦| |村| |CUN| |105|0|12
141182003|141182003007|唐兴| |村| |CUN| |105|0|12
141182003|141182003008|古贤庄| |村| |CUN| |105|0|12
141182003|141182003009|大会头| |村| |CUN| |105|0|12
141182003|141182003010|东陈家庄| |村| |CUN| |105|0|12
141182003|141182003011|城子| |村| |CUN| |105|0|12
141182003|141182003012|东遥庄| |村| |CUN| |105|0|12
141182003|141182003013|普提庄| |村| |CUN| |105|0|12
141182003|141182003014|西九枝| |村| |CUN| |105|0|12
141182003|141182003015|东宋家庄| |村| |CUN| |105|0|12
141182003|141182003016|东九枝| |村| |CUN| |105|0|12
141182003|141182003017|李家庄| |村| |CUN| |105|0|12
141182003|141182003018|东社| |村| |CUN| |105|0|12
141182003|141182003019|富家庄| |村| |CUN| |105|0|12
141182004|141182004001|谷雨墕| |村| |CUN| |105|0|12
141182004|141182004002|三合庄| |村| |CUN| |105|0|12
141182004|141182004003|原家社| |村| |CUN| |105|0|12
141182004|141182004004|菽禾村| |村| |CUN| |105|0|12
141182004|141182004005|李家庄| |村| |CUN| |105|0|12
141182004|141182004006|西庄| |村| |CUN| |105|0|12
141182004|141182004007|胡家社| |村| |CUN| |105|0|12
141182004|141182004008|西武堡| |村| |CUN| |105|0|12
141182004|141182004009|东武堡| |村| |CUN| |105|0|12
141182004|141182004010|南广城| |村| |CUN| |105|0|12
141182004|141182004011|北广城| |村| |CUN| |105|0|12
141182004|141182004012|东村| |村| |CUN| |105|0|12
141182004|141182004013|下庄| |村| |CUN| |105|0|12
141182004|141182004014|石庄| |村| |CUN| |105|0|12
141182004|141182004015|曹家庄| |村| |CUN| |105|0|12
141182004|141182004017|张家庄| |村| |CUN| |105|0|12
141182004|141182004018|阳泉| |村| |CUN| |105|0|12
141182004|141182004019|后杨寨| |村| |CUN| |105|0|12
141182004|141182004020|前杨寨| |村| |CUN| |105|0|12
141182005|141182005001|王家池| |村| |CUN| |105|0|12
141182005|141182005002|舍科| |村| |CUN| |105|0|12
141182005|141182005003|康家山| |村| |CUN| |105|0|12
141182005|141182005004|色头| |村| |CUN| |105|0|12
141182005|141182005005|田家庄| |村| |CUN| |105|0|12
141182005|141182005006|冯家墕| |村| |CUN| |105|0|12
141182005|141182005007|南泉头| |村| |CUN| |105|0|12
141182005|141182005008|谷丰| |村| |CUN| |105|0|12
141182005|141182005009|裴家庄| |村| |CUN| |105|0|12
141182005|141182005010|紫家墕| |村| |CUN| |105|0|12
141182005|141182005011|南垣活| |村| |CUN| |105|0|12
141182005|141182005012|芦王庄| |村| |CUN| |105|0|12
141182005|141182005013|邓家坪| |村| |CUN| |105|0|12
141182005|141182005014|南偏城| |村| |CUN| |105|0|12
141182005|141182005015|北偏城| |村| |CUN| |105|0|12
141182005|141182005016|北灵浮| |村| |CUN| |105|0|12
141182005|141182005017|南灵浮| |村| |CUN| |105|0|12
141182005|141182005018|后贺家庄| |村| |CUN| |105|0|12
141182005|141182005019|前贺家庄| |村| |CUN| |105|0|12
141182005|141182005020|乔家山| |村| |CUN| |105|0|12
141182005|141182005021|南墕| |村| |CUN| |105|0|12
